# COVID-19 Daily Cases: Outside Mainland China
time,name,value
1581782400,Diamond Princess Cruise Ship,0 #2020-02-16 23:30:17
1581868800,Diamond Princess Cruise Ship,99 #2020-02-17 18:59:56
1581955200,Diamond Princess Cruise Ship,88 #2020-02-18 23:40:58
1582041600,Diamond Princess Cruise Ship,79 #2020-02-19 20:25:03
1582128000,Diamond Princess Cruise Ship,13 #2020-02-20 20:02:09
1582214400,Diamond Princess Cruise Ship,0 #2020-02-21 13:00:52
1582300800,Diamond Princess Cruise Ship,0 #2020-02-22 12:34:14
1582387200,Diamond Princess Cruise Ship,57 #2020-02-23 23:05:31
1582473600,Diamond Princess Cruise Ship,0 #2020-02-24 12:40:19
1582560000,Diamond Princess Cruise Ship,0 #2020-02-25 07:20:00
1582646400,Diamond Princess Cruise Ship,14 #2020-02-26 20:21:36
1582732800,Diamond Princess Cruise Ship,0 #2020-02-27 08:03:17
1579622400,Hongkong,0 #2020-01-22 03:28:10
1579708800,Hongkong,2 #2020-01-23 23:07:26
1579795200,Hongkong,0 #2020-01-24 03:50:31
1579881600,Hongkong,3 #2020-01-25 09:54:48
1580054400,Hongkong,3 #2020-01-27 00:11:16
1580227200,Hongkong,2 #2020-01-29 19:12:06
1580400000,Hongkong,2 #2020-01-31 08:06:24
1580486400,Hongkong,1 #2020-02-01 12:56:28
1580572800,Hongkong,1 #2020-02-02 09:01:55
1580659200,Hongkong,1 #2020-02-03 09:28:34
1580745600,Hongkong,2 #2020-02-04 17:03:22
1580832000,Hongkong,4 #2020-02-05 21:08:40
1580918400,Hongkong,3 #2020-02-06 22:41:13
1581004800,Hongkong,1 #2020-02-07 19:50:03
1581091200,Hongkong,1 #2020-02-08 07:59:16
1581177600,Hongkong,3 #2020-02-09 17:43:16
1581264000,Hongkong,9 #2020-02-10 18:07:52
1581350400,Hongkong,11 #2020-02-11 17:39:05
1581436800,Hongkong,1 #2020-02-12 17:50:05
1581523200,Hongkong,3 #2020-02-13 22:51:36
1581609600,Hongkong,3 #2020-02-14 16:59:25
1581782400,Hongkong,1 #2020-02-16 17:49:32
1581868800,Hongkong,1 #2020-02-17 19:28:38
1581955200,Hongkong,4 #2020-02-18 21:40:41
1582041600,Hongkong,1 #2020-02-19 20:08:30
1582128000,Hongkong,4 #2020-02-20 17:44:30
1582214400,Hongkong,1 #2020-02-21 11:34:47
1582300800,Hongkong,1 #2020-02-22 21:21:28
1582387200,Hongkong,5 #2020-02-23 19:19:02
1582473600,Hongkong,5 #2020-02-24 19:16:31
1582560000,Hongkong,5 #2020-02-25 17:38:54
1582646400,Hongkong,5 #2020-02-26 20:40:35
1582732800,Hongkong,2 #2020-02-27 07:39:04
1580054400,Japan,0 #2020-01-27 17:20:43
1580140800,Japan,3 #2020-01-28 20:00:24
1580313600,Japan,4 #2020-01-30 09:19:17
1580400000,Japan,4 #2020-01-31 18:23:19
1580486400,Japan,5 #2020-02-01 20:47:45
1580832000,Japan,15 #2020-02-05 23:56:31
1580918400,Japan,10 #2020-02-06 11:58:08
1581004800,Japan,41 #2020-02-07 11:01:13
1581091200,Japan,3 #2020-02-08 14:44:42
1581264000,Japan,67 #2020-02-10 20:28:04
1581350400,Japan,5 #2020-02-11 19:21:09
1581436800,Japan,42 #2020-02-12 22:23:41
1581523200,Japan,44 #2020-02-13 20:19:04
1581609600,Japan,6 #2020-02-14 19:06:32
1581696000,Japan,73 #2020-02-15 18:39:41
1581782400,Japan,-264 #2020-02-16 23:30:17
1581868800,Japan,0 #2020-02-17 17:05:12
1581955200,Japan,12 #2020-02-18 23:40:58
1582041600,Japan,10 #2020-02-19 22:12:33
1582128000,Japan,0 #2020-02-20 12:28:07
1582214400,Japan,21 #2020-02-21 21:33:40
1582300800,Japan,17 #2020-02-22 22:43:42
1582387200,Japan,13 #2020-02-23 18:22:45
1582473600,Japan,24 #2020-02-24 22:15:30
1582560000,Japan,11 #2020-02-25 22:44:06
1582646400,Japan,8 #2020-02-26 18:58:23
1582732800,Japan,11 #2020-02-27 10:40:25
1580054400,Korea,0 #2020-01-27 17:20:43
1580400000,Korea,7 #2020-01-31 14:08:51
1580486400,Korea,1 #2020-02-01 18:35:35
1580572800,Korea,3 #2020-02-02 10:20:59
1580745600,Korea,1 #2020-02-04 23:30:41
1580832000,Korea,3 #2020-02-05 23:24:10
1580918400,Korea,4 #2020-02-06 10:44:12
1581004800,Korea,1 #2020-02-07 11:02:13
1581177600,Korea,1 #2020-02-09 10:33:09
1581264000,Korea,2 #2020-02-10 20:28:04
1581350400,Korea,1 #2020-02-11 19:21:09
1581436800,Korea,0 #2020-02-12 22:23:41
1581523200,Korea,0 #2020-02-13 19:24:24
1581609600,Korea,0 #2020-02-14 19:06:32
1581696000,Korea,0 #2020-02-15 11:23:34
1581782400,Korea,1 #2020-02-16 23:30:17
1581868800,Korea,1 #2020-02-17 18:59:56
1581955200,Korea,0 #2020-02-18 23:40:58
1582041600,Korea,21 #2020-02-19 22:12:33
1582128000,Korea,53 #2020-02-20 18:01:05
1582214400,Korea,100 #2020-02-21 21:33:40
1582300800,Korea,229 #2020-02-22 19:10:24
1582387200,Korea,169 #2020-02-23 21:37:53
1582473600,Korea,231 #2020-02-24 19:09:13
1582560000,Korea,144 #2020-02-25 20:40:20
1582646400,Korea,284 #2020-02-26 18:57:20
1582732800,Korea,334 #2020-02-27 10:40:25
1580054400,Singapore,0 #2020-01-27 17:20:43
1580140800,Singapore,1 #2020-01-28 06:36:26
1580227200,Singapore,5 #2020-01-29 19:55:25
1580400000,Singapore,3 #2020-01-31 14:04:25
1580486400,Singapore,3 #2020-02-01 11:21:19
1580572800,Singapore,2 #2020-02-02 12:57:14
1580745600,Singapore,6 #2020-02-04 23:30:41
1580918400,Singapore,4 #2020-02-06 00:28:53
1581004800,Singapore,2 #2020-02-07 11:01:13
1581091200,Singapore,3 #2020-02-08 20:44:39
1581177600,Singapore,7 #2020-02-09 10:36:12
1581264000,Singapore,3 #2020-02-10 20:28:04
1581350400,Singapore,2 #2020-02-11 19:21:09
1581436800,Singapore,2 #2020-02-12 22:23:41
1581523200,Singapore,11 #2020-02-13 19:56:59
1581609600,Singapore,9 #2020-02-14 20:41:45
1581696000,Singapore,5 #2020-02-15 21:49:01
1581782400,Singapore,0 #2020-02-16 23:30:17
1581868800,Singapore,5 #2020-02-17 22:13:45
1581955200,Singapore,0 #2020-02-18 12:47:02
1582041600,Singapore,7 #2020-02-19 20:58:08
1582128000,Singapore,0 #2020-02-20 12:28:07
1582214400,Singapore,1 #2020-02-21 18:02:54
1582300800,Singapore,0 #2020-02-22 12:34:14
1582387200,Singapore,4 #2020-02-23 23:05:31
1582473600,Singapore,0 #2020-02-24 12:40:19
1582560000,Singapore,1 #2020-02-25 12:08:21
1582646400,Singapore,3 #2020-02-26 22:19:37
1582732800,Singapore,0 #2020-02-27 08:03:17
1582128000,Iran,0 #2020-02-20 18:01:05
1582214400,Iran,16 #2020-02-21 20:59:22
1582300800,Iran,10 #2020-02-22 19:10:24
1582387200,Iran,15 #2020-02-23 23:05:31
1582473600,Iran,18 #2020-02-24 19:12:21
1582560000,Iran,34 #2020-02-25 22:44:06
1582646400,Iran,44 #2020-02-26 20:12:08
1582732800,Iran,0 #2020-02-27 08:03:17
1580400000,Italy,0 #2020-01-31 07:09:51
1580486400,Italy,0 #2020-02-01 02:48:13
1581091200,Italy,1 #2020-02-08 15:11:01
1581264000,Italy,0 #2020-02-10 20:28:04
1581350400,Italy,0 #2020-02-11 19:21:09
1581436800,Italy,0 #2020-02-12 22:23:41
1581523200,Italy,0 #2020-02-13 19:24:24
1581609600,Italy,0 #2020-02-14 07:22:06
1581696000,Italy,0 #2020-02-15 11:23:34
1581782400,Italy,0 #2020-02-16 23:30:17
1582300800,Italy,17 #2020-02-22 22:49:56
1582387200,Italy,97 #2020-02-23 23:18:02
1582473600,Italy,113 #2020-02-24 22:56:18
1582560000,Italy,53 #2020-02-25 22:44:06
1582646400,Italy,91 #2020-02-26 20:22:39
1582732800,Italy,96 #2020-02-27 08:03:17
1580054400,USA,0 #2020-01-27 17:20:43
1580400000,USA,1 #2020-01-31 07:17:36
1580486400,USA,0 #2020-02-01 02:48:13
1580572800,USA,2 #2020-02-02 07:41:43
1580659200,USA,1 #2020-02-03 09:28:34
1580745600,USA,2 #2020-02-04 07:11:09
1580918400,USA,1 #2020-02-06 10:59:24
1581264000,USA,0 #2020-02-10 20:28:04
1581350400,USA,1 #2020-02-11 19:21:09
1581436800,USA,0 #2020-02-12 22:23:41
1581523200,USA,1 #2020-02-13 19:24:24
1581609600,USA,1 #2020-02-14 19:06:32
1581696000,USA,0 #2020-02-15 12:28:17
1581782400,USA,0 #2020-02-16 23:30:17
1581868800,USA,0 #2020-02-17 08:00:22
1582128000,USA,0 #2020-02-20 08:21:10
1582300800,USA,20 #2020-02-22 22:43:42
1582387200,USA,0 #2020-02-23 13:32:13
1582473600,USA,0 #2020-02-24 12:40:19
1582560000,USA,18 #2020-02-25 12:08:21
1582646400,USA,4 #2020-02-26 20:15:18
1582732800,USA,3 #2020-02-27 08:03:17
